101;101;CIGARRERIA PAKOS;BOGOTA;CL 175 63 06;;BOGOTÁ D.C.;CL 175 63 06
102;102;ARMA T ARTE MAGIA DE LA MADERA Y LA TELA;BOGOTA;CL 175 64 23;;BOGOTÁ D.C.;CL 175 64 23
103;103;DROGUERIA GAVIZ;BOGOTA;CL 176 52 28;;BOGOTÁ D.C.;CL 176 52 28
104;104;CIGARRERIA SURTIMAX;BOGOTA;CL 178 52 04;;BOGOTÁ D.C.;CL 178 52 04
105;105;DROGUERIA JUANCHITO;BOGOTA;CL 17F 136 10 BR FONTIBON FLORENCIA;;BOGOTÁ D.C.;CL 17F 136 10 BR FONTIBON FLORENCIA
106;106;DROGUERIAS Y MINIMARKETS PUNTO REBAJAS J S;BOGOTA;CL 18 102 53;;BOGOTÁ D.C.;CL 18 102 53
107;107;METRO DUITAMA;BOYACA;CL 18 11 33;;DUITAMA;CL 18 11 33
108;108;FARMAPLAZA;BOYACA;CL 18 11 56;;CHIQUINQUIRÁ;CL 18 11 56
109;109;HOME CELL STAR;NARIÑO;CL 18 11 69;;PASTO;CL 18 11 69
110;110;JJ COMUNICACIONES Y VARIEDADES;BOGOTA;CL 18 115 26;;BOGOTÁ D.C.;CL 18 115 26
111;111;MEGACARNES Y VIVERES ALAMEDA;BOGOTA;CL 18 12 77;;BOGOTÁ D.C.;CL 18 12 77
112;112;DROGAS LAS MARIAS;BOYACA;CL 18 13 86 88;;DUITAMA;CL 18 13 86 88
113;113;DROGUERIA HOSPITALARIA CALLE 18 LA FAVORITA;BOGOTA;CL 18 15 51;;BOGOTÁ D.C.;CL 18 15 51
114;114;DROGUERIA MI BOSCONIA;CESAR;CL 18 17A 80;;BOSCONIA;CL 18 17A 80
115;115;DROGUERIA FARMACIA TORRES NO 34;ATLANTICO;CL 18 18 86;;GALAPA;CL 18 18 86
116;116;DROGUERIA SUPERIOR 2;BOYACA;CL 18 19 11;;DUITAMA;CL 18 19 11
117;117;DROGUERIA FARMACIA TORRES NO 32;ATLANTICO;CL 18 19 28;;SOLEDAD;CL 18 19 28
118;118;DROGAS 24 HORAS;CAUCA;CL 18 20 56;;TIMBÍO;CL 18 20 56
119;119;EXITO CENTRO PASTO;NARIÑO;CL 18 26 40 CENTRO;;PASTO;CL 18 26 40 CENTRO
120;120;DROGAS Y DROGUERIAS PASTEUR PARQUE INFANTIL;NARIÑO;CL 18 30 74;;PASTO;CL 18 30 74
121;121;DROGUERIA AMIGA NO. 2;NARIÑO;CL 18 34 A 45;;PASTO;CL 18 34 A 45
122;122;CARULLA PALMAS;ANTIOQUIA;CL 18 35 69;;MEDELLIN;CL 18 35 69
123;123;ESTACION DE SERVICIO LOS MANGOS;ATLANTICO;CL 18 37 60 LC 1A;;SOLEDAD;CL 18 37 60 LC 1A
124;124;GENIO S PAPELERIA;VALLE DEL CAUCA;CL 18 5 N 25;;CALI;CL 18 5 N 25
125;125;CEVERCOP;CORDOBA;CL 18 6 44;;PLANETA RICA;CL 18 6 44
126;126;CELULAR MASTER CAMPOALEGRE;HUILA;CL 18 9 01;;CAMPOALEGRE;CL 18 9 01
127;127;MERCADROGAS 2000 EYC;CUNDINAMARCA;CL 18 A 1 23 BIS ESTE SOACHA;;SOACHA;CL 18 A 1 23 BIS ESTE SOACHA
128;128;MERCADROGAS 2000 EYC 2;CUNDINAMARCA;CL 18 A 1 23 BIS ESTE SOACHA;;SOACHA;CL 18 A 1 23 BIS ESTE SOACHA
129;129;MEGASUR;NARIÑO;CL 18 A 10 57 AV IDEMA;;PASTO;CL 18 A 10 57 AV IDEMA
130;130;ALO LLAMAME;NARIÑO;CL 18 A 14 00;;PASTO;CL 18 A 14 00
131;131;DROGAS PASTEUR;NARIÑO;CL 18 A 4 E 31;;PASTO;CL 18 A 4 E 31
132;132;ALMACEN MONREAL;ANTIOQUIA;CL 18 A 75 A 30;;MEDELLIN;CL 18 A 75 A 30
133;133;CELUVARIEDADES YORK;NORTE DE SANTANDER;CL 18 AV 2 N 1 B 72 LC 4;;CÚCUTA;CL 18 AV 2 N 1 B 72 LC 4
134;134;DROGAS CONDOR VALLEDUPAR;CESAR;CL 18 BIS 1 36 05;;VALLEDUPAR;CL 18 BIS 1 36 05
135;135;ALMACEN DE COMPRA VENTA LURUACO;ATLANTICO;CL 18 KR 20 46;;LURUACO;CL 18 KR 20 46
136;136;FARMATODO RESTREPO;BOGOTA;CL 18 SUR 20 03;;BOGOTÁ D.C.;CL 18 SUR 20 03
137;137;DROGUERIA SALUD NORTE 1;BOGOTA;CL 181 C 11 75 LC 08;;BOGOTÁ D.C.;CL 181 C 11 75 LC 08
138;138;DROGAS LONDON B N 2;BOGOTA;CL 182 7 B 76;;BOGOTÁ D.C.;CL 182 7 B 76
139;139;DROGUERIA FARMA DINAMICA;BOGOTA;CL 182 8 A 01 LC 2;;BOGOTÁ D.C.;CL 182 8 A 01 LC 2
140;140;DROGUERIA ANDALUCIA NORTE;BOGOTA;CL 182 A 10 B 31;;BOGOTÁ D.C.;CL 182 A 10 B 31
141;141;DROGUERIA ANDALUCIA NORTE 2;BOGOTA;CL 182 A 10 B 31;;BOGOTÁ D.C.;CL 182 A 10 B 31
142;142;DROGUERIA SANTA SALUD;BOGOTA;CL 183 17 B 12;;BOGOTÁ D.C.;CL 183 17 B 12
143;143;FARMAREAL NORTE;BOGOTA;CL 183 9 A 40;;BOGOTÁ D.C.;CL 183 9 A 40
144;144;FARMAREAL NORTE 2;BOGOTA;CL 183 9 A 40;;BOGOTÁ D.C.;CL 183 9 A 40
145;145;JUMBO SANTAFE III;BOGOTA;CL 185 45 03 CE SANTA FE LC 167;;BOGOTÁ D.C.;CL 185 45 03 CE SANTA FE LC 167
146;146;JUMBO SANTAFE;BOGOTA;CL 185 45 03 LC 167;;BOGOTÁ D.C.;CL 185 45 03 LC 167
147;147;JUMBO SANTAFE II;BOGOTA;CL 185 45 03 LC 167;;BOGOTÁ D.C.;CL 185 45 03 LC 167
148;148;FARMATODO CC SANTA FE;BOGOTA;CL 185 45 03 LC 3 - 29;;BOGOTÁ D.C.;CL 185 45 03 LC 3 - 29
149;149;DROGUERIA SAN PEDRO PLAZA;BOGOTA;CL 187 50 60 LC A09;;BOGOTÁ D.C.;CL 187 50 60 LC A09
150;150;COPYGRAF;BOGOTA;CL 187 55 A 40 LC A29;;BOGOTÁ D.C.;CL 187 55 A 40 LC A29
151;151;CENTRO ESPECIALIZADO MONTPELLIER CL 187 - 2;BOGOTA;CL 187 55 B 60 LC 5B;;BOGOTÁ D.C.;CL 187 55 B 60 LC 5B
152;152;DROGUERIA ALKOSTO PLAZA;BOGOTA;CL 187 55 B 78;;BOGOTÁ D.C.;CL 187 55 B 78
153;153;EL SUPERMERCADO DE MI BARRIO;BOGOTA;CL 188 13 15;;BOGOTÁ D.C.;CL 188 13 15
154;154;DROGUERIA CANO PRINCIPAL;BOGOTA;CL 188 BIS 8 C 15;;BOGOTÁ D.C.;CL 188 BIS 8 C 15
155;155;DROGAS SUPERSALUD NO 3;CUNDINAMARCA;CL 19 1 A 15;;MOSQUERA (CUNDI);CL 19 1 A 15
156;156;FOODCENTER VIVERES COMIDAS BEBIDAS;QUINDIO;CL 19 15 45 PI 1;;ARMENIA (QUINDIO);CL 19 15 45 PI 1
157;157;DROGUERIA FARMACIA TORRES NO 18;ATLANTICO;CL 19 17 101;;SABANALARGA(AT);CL 19 17 101
158;158;EXITO ARMENIA CENTRO;QUINDIO;CL 19 17 27;;ARMENIA (QUINDIO);CL 19 17 27
159;159;LIZWEN;SUCRE;CL 19 18 A 147;;SAN MARCOS;CL 19 18 A 147
160;160;DROGUERIA FARMACIA TORRES NO 13;ATLANTICO;CL 19 2 38;;SOLEDAD;CL 19 2 38
161;161;JOCELL COMUNICACIONES Y ACCESORIOS;BOLIVAR;CL 19 2 60;;MOMPÓS;CL 19 2 60
162;162;DROGUERIA SUPER - EXITFARMA;CUNDINAMARCA;CL 19 2 C 21;;FACATATIVÁ;CL 19 2 C 21
163;163;DROGUERIA S Y A;ANTIOQUIA;CL 19 20 55;;RETIRO;CL 19 20 55
164;164;BOTICA JUNIN NO. 35;ANTIOQUIA;CL 19 20 57 / 59;;LA CEJA;CL 19 20 57 / 59
165;165;ALMACEN LA FAMA;ANTIOQUIA;CL 19 20 63;;LA CEJA;CL 19 20 63
166;166;FABEMA;SANTANDER;CL 19 21 121;;GIRÓN;CL 19 21 121
167;167;HELADERIA OSKARDY;ANTIOQUIA;CL 19 21 27;;LA CEJA;CL 19 21 27
168;168;CHATEAMOS.COM;SANTANDER;CL 19 24 61;;BUCARAMANGA;CL 19 24 61
169;169;APUESTAS EL TREBOL CL 19;NARIÑO;CL 19 28 17;;PASTO;CL 19 28 17
170;170;DISTRIBUCIONES P & Z LTDA CC CALIMA;BOGOTA;CL 19 28 80 LC BK 005;;BOGOTÁ D.C.;CL 19 28 80 LC BK 005
171;171;DROGAS SAN LUIS;RISARALDA;CL 19 29 53;;PEREIRA;CL 19 29 53
172;172;EXITO EXPRESS BARICHARA;BOGOTA;CL 19 3 16;;BOGOTÁ D.C.;CL 19 3 16
173;173;METRO IBAGUE CALLE 19;TOLIMA;CL 19 3 52;;IBAGUÉ;CL 19 3 52
174;174;METRO IBAGUE CALLE 19 II;TOLIMA;CL 19 3 52;;IBAGUÉ;CL 19 3 52
175;175;DROGAS LA BOTICA DE SIMON BOLIVAR;ATLANTICO;CL 19 4 10;;BARRANQUILLA;CL 19 4 10
176;176;EXITO EXPRESS CIUDAD DEL RIO;ANTIOQUIA;CL 19 43 G 80;;MEDELLIN;CL 19 43 G 80
177;177;DROGUERIA LA CELESTE # 2;ATLANTICO;CL 19 5 B 06;;BARRANQUILLA;CL 19 5 B 06
178;178;DROGAS COLOMBIA FARMA SUCURSAL CALLE 19;BOGOTA;CL 19 6 22;;BOGOTÁ D.C.;CL 19 6 22
179;179;DARSALUD NO 60;VALLE DEL CAUCA;CL 19 6 31;;CALI;CL 19 6 31
180;180;CVE JIMENEZ BOULEVARD;ATLANTICO;CL 19 6 B 34;;BARRANQUILLA;CL 19 6 B 34
181;181;ALMACEN DE COMPRA VENTA LA ROCA DE SIMON BOLIVAR;ATLANTICO;CL 19 6 D 06;;BARRANQUILLA;CL 19 6 D 06
182;182;LA BOUTIQUE;BOYACA;CL 19 635;;MONIQUIRÁ;CL 19 635
183;183;CIBER INTERNET.NET;RISARALDA;CL 19 7 49;;PEREIRA;CL 19 7 49
184;184;DROGUERIA MASTER;ANTIOQUIA;CL 19 70 A 30;;MEDELLIN;CL 19 70 A 30
185;185;DROGAS COLOMBIA FARMA SUCURSAL CALLE 19;BOGOTA;CL 19 8 32;;BOGOTÁ D.C.;CL 19 8 32
186;186;DROGUERIA MONSERRAT;TOLIMA;CL 19 8 32;;IBAGUÉ;CL 19 8 32
187;187;COMUNICACIONES BALOTO J.M.;SANTANDER;CL 19 8 46;;ZAPATOCA;CL 19 8 46
188;188;GLOBAL NET;BOYACA;CL 19 8 63 LC 105;;TUNJA;CL 19 8 63 LC 105
189;189;CITIBANK PEREIRA;RISARALDA;CL 19 9 50;;PEREIRA;CL 19 9 50
190;190;DROGUERIA ALFA;BOYACA;CL 19 9 81;;TUNJA;CL 19 9 81
191;191;COMPRAVENTA LA ESTRELLA DE ORO;RISARALDA;CL 19 A 10 55;;PEREIRA;CL 19 A 10 55
